category,work,urn,text,context,lg_pos,trf_pos,odycy_pos,human_judgement,notes,lg_lemma,trf_lemma,odycy_lemma,lg_gender,trf_gender,odycy_gender,lg_case,trf_case,odycy_case,lg_tense,trf_tense,odycy_tense,lg_mood,trf_mood,odycy_mood,lg_voice,trf_voice,odycy_voice,lg_number,trf_number,odycy_number
tokenization_mismatch,Argonautica,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:2.335,,lg/trf: τῶ καὶ τἆλλα μεθέντες ὀνήιστον πονέεσθαι  |  odycy: τῶ καὶ τἆ λλα μεθέντες ὀνήιστον πονέεσθαι,,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.465,,"lg/trf: μίστυλλόν τʼ ἄρα τἆλλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ,  |  odycy: μίστυλλόν τʼ ἄρα τἆ λλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ,",,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:2.428,,"lg/trf: μίστυλλόν τʼ ἄρα τἆλλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ,  |  odycy: μίστυλλόν τʼ ἄρα τἆ λλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ,",,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:6.260,,"lg/trf: πρῶτον , ἔπειτα δὲ καὐτὸς ὀνήσεαι αἴ κε πίῃσθα .  |  odycy: πρῶτον , ἔπειτα δὲ κ αὐτὸς ὀνήσεαι αἴ κε πίῃσθα .",,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:8.360,,lg/trf: ἀλλὰ πατὴρ οὑμὸς φρεσὶ μαίνεται οὐκ ἀγαθῇσι  |  odycy: ἀλλὰ πατὴρ οὑ μὸς φρεσὶ μαίνεται οὐκ ἀγαθῇσι,,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:13.734,,"lg/trf: καί τε πολέας ἐσάωσε , μάλιστα δὲ καὐτὸς ἀνέγνω .  |  odycy: καί τε πολέας ἐσάωσε , μάλιστα δὲ κ αὐτὸς ἀνέγνω .",,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:23.325,,lg/trf: ἀλλʼ ἔχει ἀσφαλέως καὶ τὸν προὔχοντα δοκεύει .  |  odycy: ἀλλʼ ἔχει ἀσφαλέως καὶ τὸν προὔ χοντα δοκεύει .,,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Iliad,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:23.453,,"lg/trf: ἔγνω , φράσσατο δʼ ἵππον ἀριπρεπέα προὔχοντα ,  |  odycy: ἔγνω , φράσσατο δʼ ἵππον ἀριπρεπέα προὔ χοντα ,",,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:3.255,,"lg/trf: ἦ τοι μὲν τάδε καὐτὸς ὀίεαι , ὥς κεν ἐτύχθη ,  |  odycy: ἦ τοι μὲν τάδε κ αὐτὸς ὀίεαι , ὥς κεν ἐτύχθη ,",,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
tokenization_mismatch,Odyssey,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:3.462,,"lg/trf: μίστυλλόν τʼ ἄρα τἆλλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ,  |  odycy: μίστυλλόν τʼ ἄρα τἆ λλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ,",,,,lg/trf,Crasis form split by odyCy tokenizer at internal breathing/coronis mark into non-word fragments; lg/trf single-token form is correct. [high],,,,,,,,,,,,,,,,,,,,,
